Iteration	Y	var_1	var_2
1.0	10.0867100227	-1.58302262743	-1.34572196429
2.0	56.4643203793	2.72362061066	-1.4768724239
3.0	22.587733474	-1.98262001271	-1.59854145923
4.0	101.273664973	2.98454395793	-0.809195292724
5.0	38.3436913517	-2.65459914426	0.528294247646
6.0	2.79852394016	-1.64386522727	-0.879791545184
7.0	1.94632916097	-1.00947053956	-0.689117524048
8.0	16.6203122958	-0.224968061429	-1.60167473264
9.0	0.707760390652	-0.682324827965	0.372777649989
10.0	47.7831115149	-0.393278277228	2.0
11.0	2.39620692558	-1.10085133259	-0.0425125435382
12.0	0.536637591532	-0.382607653168	-0.108367837462
13.0	1.33059929006	-0.654799332236	0.0315822373988
14.0	48.0365233759	1.1808354226	-2.0
15.0	-0.230794994258	-0.219386561851	0.311357417879
16.0	0.267340172421	-0.386888408204	0.22805974858
17.0	0.00592415178409	0.0818681074975	-0.0626908372974
18.0	0.00517666652334	-0.0963227795634	0.0780757632277
19.0	-0.63237549922	-0.125604613026	-0.504160111168
20.0	-0.257268212742	-0.0814931739368	-0.289601893274
21.0	-0.108149312535	-0.396311383079	-0.602212821789
22.0	-0.253107809913	-0.26321264317	-0.446138821109
23.0	-0.652466256264	0.152922473276	-0.46317648541
24.0	-0.985492251114	0.0179129988634	-0.648984610405
25.0	-0.669116598302	-0.180523212307	-0.789155695904
26.0	-0.86279180564	-0.111040503972	-0.663038926161
27.0	2.19503181854	-1.49945246305	-0.450013366506
28.0	-0.832093925201	0.0294852216039	-0.536398243919
29.0	-0.601654988451	-0.378143570807	0.590470220973
30.0	-0.823567605085	0.0112483788279	0.542170792
31.0	-0.831759384112	-0.153826318384	0.548239113087
32.0	-0.408823418333	0.0700857224481	0.361180126203
33.0	-0.950082748513	0.21642277499	-0.667826027558
34.0	-0.970405833983	0.0674299118403	-0.792045520583
35.0	-1.02073331665	0.12153942862	-0.684777133902
36.0	0.114731712768	0.456268098569	-0.365593979702
37.0	0.509182608092	0.396927368078	0.196224645038
38.0	-0.946320669234	-0.0292450272231	-0.763901553918
39.0	-1.02339099788	-0.124984253448	0.735077812599
40.0	-0.978812951777	-0.188809957461	0.673796373702
41.0	-0.99891066718	-0.00623032186865	0.681190485065
42.0	-0.536204121728	0.240040445741	0.584813351628
43.0	-0.668898338351	0.304337336054	-0.555071277423
44.0	-0.807977999715	0.117228075585	0.779321817518
45.0	-0.862368284188	0.110711786199	0.661321347595
46.0	-0.923390344211	-0.023846965939	0.80806879146
47.0	-0.856366844806	-0.297535675168	0.77038867003
48.0	-0.937053211227	-0.181830072741	0.800028329446
49.0	-0.949321202422	0.192316254901	-0.786961444962
50.0	-0.708141379322	0.394938850501	-0.716353071071
51.0	-0.270671269308	-0.592039839681	0.741690420354
52.0	0.668555395967	-0.511493437179	-0.881936929879
53.0	-0.623118775072	-0.437637411502	0.724141082183
54.0	0.793667025413	-1.07170629397	0.588136264121
55.0	0.00278721036771	0.266532827913	-0.234771610863
